student_id,first_name,last_name,email,done_sports,cgpa,credits_taken,address
693068,Llywellyn,Harce,lharce0@wikispaces.com,false,0.07,136,Room 1527
267586,Dasi,Huff,dhuff1@comsenz.com,false,7.71,128,Room 1945
744318,Riley,Baulk,rbaulk2@privacy.gov.au,false,3.43,95,5th Floor
025780,Ody,McLugaish,omclugaish3@blogs.com,true,2.83,129,Apt 1546
106136,Raffaello,Heber,rheber4@yellowbook.com,true,0.35,105,Room 1849
385839,Antin,Clementson,aclementson5@sun.com,true,2.04,98,Apt 268
121247,Micheal,Cometti,mcometti6@google.fr,false,2.77,123,Suite 50
202797,Rubin,Mizzen,rmizzen7@foxnews.com,false,4.01,67,8th Floor
838026,Corey,Dobbing,cdobbing8@i2i.jp,true,0.57,93,14th Floor
371765,Hugibert,Timms,htimms9@rakuten.co.jp,true,3.55,86,Apt 1890
423707,Susette,Bridgwood,sbridgwooda@auda.org.au,true,3.43,146,Suite 79
550073,Harmon,Fears,hfearsb@discovery.com,true,3.09,1,PO Box 36176
808209,Bamby,Duffin,bduffinc@pbs.org,true,1.31,125,Apt 930
115382,Minor,Scown,mscownd@mlb.com,true,3.42,84,PO Box 78905
887644,Malina,Mollindinia,mmollindiniae@tripadvisor.com,true,5.64,136,Apt 313
926807,Luciana,Threlfall,lthrelfallf@dmoz.org,true,8.1,34,PO Box 70392
757171,Lindy,Mulrooney,lmulrooneyg@simplemachines.org,true,0.9,123,Room 871
283622,Justin,LLelweln,jllelwelnh@barnesandnoble.com,false,1.8,98,PO Box 43581
641333,Dugald,Tribbeck,dtribbecki@cnbc.com,false,0.96,83,PO Box 89685
608914,Salomi,Marmon,smarmonj@google.ca,true,1.77,124,PO Box 43757
759409,Leigh,Gleadle,lgleadlek@cbsnews.com,true,3.35,111,12th Floor
589986,Verney,Whyard,vwhyardl@lycos.com,true,4.87,58,12th Floor
447868,Cacilie,Ayre,cayrem@wufoo.com,true,8.94,50,PO Box 54046
143600,Meredeth,Elsay,melsayn@businesswire.com,true,4.14,99,PO Box 53695
149018,Jaquith,Coumbe,jcoumbeo@omniture.com,true,0.43,12,Room 1166
580777,Zacharias,Fenix,zfenixp@blog.com,false,3.39,74,Suite 64
102579,Theadora,Swinford,tswinfordq@gov.uk,false,6.79,0,Apt 1297
016084,Kelsy,Dillamore,kdillamorer@house.gov,false,7.18,137,PO Box 58625
732522,Eddie,Saville,esavilles@fastcompany.com,false,9.69,15,Room 1594
063389,Ashia,Bartholomew,abartholomewt@4shared.com,true,5.87,108,Suite 52
614250,Junina,Belsey,jbelseyu@unc.edu,true,2.71,12,Apt 819
329711,Nolan,Revey,nreveyv@disqus.com,false,1.1,86,Apt 1607
352639,Bay,Redwing,bredwingw@illinois.edu,false,5.85,5,Room 1754
452855,Westbrook,Pitson,wpitsonx@hibu.com,false,9.11,125,PO Box 40183
621530,Brunhilda,Ambler,bamblery@vistaprint.com,false,6.26,61,Apt 441
078098,Frederico,Bloxland,fbloxlandz@goo.gl,false,4.53,13,PO Box 7406
640303,Harald,Regus,hregus10@1und1.de,true,3.52,20,Room 1468
117912,Evangelia,Colcomb,ecolcomb11@github.com,false,0.61,35,PO Box 39536
480487,Brandise,Smuth,bsmuth12@infoseek.co.jp,false,8.73,21,18th Floor
957493,Rodrique,Watmore,rwatmore13@icio.us,false,9.3,75,Apt 1446
674988,Jori,Egglestone,jegglestone14@fastcompany.com,true,8.21,54,Apt 34
533789,Katherina,Broinlich,kbroinlich15@psu.edu,false,0.66,135,PO Box 68830
956200,Margit,Shedd,mshedd16@ca.gov,true,8.09,45,Apt 218
316037,Mellisent,Sommerling,msommerling17@mac.com,false,3.89,22,Apt 167
993703,Sharyl,Busk,sbusk18@upenn.edu,false,7.36,29,Room 488
887650,Constanta,Inseal,cinseal19@liveinternet.ru,false,7.87,110,Suite 11
280788,Aeriell,Benterman,abenterman1a@telegraph.co.uk,true,7.04,139,Suite 53
736933,Mel,Savine,msavine1b@icq.com,true,4.76,69,Apt 454
635616,Ula,Gowrie,ugowrie1c@oracle.com,false,0.43,40,PO Box 15727
006216,Jenni,Joiner,jjoiner1d@blogspot.com,true,4.58,1,Suite 38
701284,Nikaniki,Wookey,nwookey1e@surveymonkey.com,false,9.6,39,Room 702
586974,Mareah,Bruster,mbruster1f@reference.com,false,0.4,11,PO Box 5581
056370,Etty,Borthram,eborthram1g@statcounter.com,false,7.8,120,Suite 31
690465,Emera,Harold,eharold1h@merriam-webster.com,true,7.66,69,18th Floor
488642,Constantia,Pere,cpere1i@goo.gl,true,0.42,57,Suite 43
243958,Rudiger,Tedstone,rtedstone1j@com.com,true,9.01,2,6th Floor
830416,Dominik,Boldock,dboldock1k@theguardian.com,true,9.75,50,Suite 57
602899,Jena,Tocque,jtocque1l@google.nl,false,3.47,55,Suite 48
940361,Verna,Dyke,vdyke1m@chron.com,false,7.66,111,Suite 10
624073,Ford,Ricciardiello,fricciardiello1n@lycos.com,false,3.67,11,20th Floor
567781,Clay,Casseldine,ccasseldine1o@biglobe.ne.jp,true,1.62,56,18th Floor
702271,Willamina,Steventon,wsteventon1p@chicagotribune.com,true,8.66,112,Suite 53
835817,Harriott,Snaith,hsnaith1q@adobe.com,false,3.37,89,Apt 1697
029684,Kendrick,Chidley,kchidley1r@purevolume.com,true,0.11,121,11th Floor
224697,Lexis,Woolbrook,lwoolbrook1s@ed.gov,false,0.79,58,15th Floor
664425,Geoff,Ovesen,govesen1t@ustream.tv,false,4.07,113,PO Box 24763
603230,Florina,Quick,fquick1u@elpais.com,true,5.87,27,Room 355
302374,Skipper,Wimms,swimms1v@miitbeian.gov.cn,true,9.86,144,PO Box 5754
246216,Farly,Cubley,fcubley1w@nationalgeographic.com,true,3.93,131,Suite 31
625885,Dulcine,Mallan,dmallan1x@sfgate.com,false,9.42,125,Room 994
753884,Leia,Scarre,lscarre1y@eepurl.com,true,0.69,45,Suite 23
253556,Dorie,Sammars,dsammars1z@psu.edu,false,4.26,120,PO Box 97169
405247,Olav,Roff,oroff20@nsw.gov.au,false,4.36,140,14th Floor
816177,Conni,Conachie,cconachie21@sina.com.cn,true,0.45,55,Suite 40
081175,Risa,Maleck,rmaleck22@foxnews.com,false,6.22,68,PO Box 27524
971078,Leighton,Sultan,lsultan23@reuters.com,false,7.51,40,Suite 62
302389,Randal,Roche,rroche24@naver.com,true,2.7,36,Apt 1110
315323,Ignace,Froggatt,ifroggatt25@clickbank.net,true,1.78,6,PO Box 77547
298452,Ephrayim,Estoile,eestoile26@nymag.com,false,0.74,59,Room 1990
250203,Trude,Diego,tdiego27@tiny.cc,false,8.36,113,Suite 12
623768,Ardenia,Sjostrom,asjostrom28@toplist.cz,false,0.03,125,PO Box 20089
477679,Jodee,Milmo,jmilmo29@newyorker.com,false,8.77,58,Suite 30
909013,Kim,Woodcroft,kwoodcroft2a@businesswire.com,true,8.55,12,20th Floor
027241,Coletta,Pierucci,cpierucci2b@uiuc.edu,false,4.23,43,12th Floor
489421,Othello,Atter,oatter2c@cafepress.com,false,4.79,64,10th Floor
690817,Marika,Kerridge,mkerridge2d@seattletimes.com,false,2.16,20,11th Floor
054614,Stanwood,Hards,shards2e@163.com,false,2.8,71,9th Floor
119881,Shelly,Kleisel,skleisel2f@hc360.com,false,7.27,119,PO Box 17430
005235,Barri,Ellsbury,bellsbury2g@marriott.com,false,2.7,28,Suite 2
341827,Nananne,Fazackerley,nfazackerley2h@hubpages.com,true,5.7,53,11th Floor
725941,Clemence,Vaszoly,cvaszoly2i@printfriendly.com,true,8.84,67,13th Floor
356856,Darryl,Pigrome,dpigrome2j@altervista.org,false,6.62,93,Room 891
087282,Nada,Spirritt,nspirritt2k@yahoo.com,false,6.71,26,13th Floor
695772,Bobinette,Burkinshaw,bburkinshaw2l@si.edu,true,8.22,80,Apt 1680
028323,Niko,Poulter,npoulter2m@linkedin.com,false,4.72,89,PO Box 60169
782937,Karole,Dongate,kdongate2n@e-recht24.de,false,0.13,6,Suite 97
419621,Phillipe,Lohering,plohering2o@jiathis.com,false,9.08,89,Apt 1266
109536,Elysha,Skelhorn,eskelhorn2p@usnews.com,true,1.86,99,Apt 906
258070,Erin,Careless,ecareless2q@odnoklassniki.ru,true,8.82,6,Apt 1238
935887,Matilda,Anscombe,manscombe2r@guardian.co.uk,true,0.36,143,PO Box 7174
753006,Corey,Pyrke,cpyrke2s@booking.com,false,3.24,75,6th Floor
683872,Emmerich,Hearne,ehearne2t@shop-pro.jp,false,5.08,3,Apt 410
534675,Sheffield,Freear,sfreear2u@xing.com,true,7.63,16,Apt 477
492529,Coral,Steptowe,csteptowe2v@youtu.be,false,5.09,71,3rd Floor
886224,Emalee,Capener,ecapener2w@t-online.de,true,0.17,8,PO Box 26293
663249,Simonette,Wyeth,swyeth2x@ftc.gov,false,7.7,98,Apt 1315
260872,Beverlee,Rue,brue2y@cbc.ca,true,9.2,19,Apt 1798
280989,Robby,Haime,rhaime2z@nymag.com,false,0.67,65,Room 382
883948,Alanah,Fussie,afussie30@cbsnews.com,true,4.34,145,PO Box 44379
017961,Norina,Load,nload31@joomla.org,true,1.21,85,PO Box 94071
555519,Conny,Debnam,cdebnam32@phpbb.com,false,9.55,82,Room 868
411971,Fania,Cheale,fcheale33@marketwatch.com,true,0.99,133,PO Box 2010
041163,Paddy,Giacobbo,pgiacobbo34@webeden.co.uk,false,1.9,95,Suite 3
253686,Tami,Carletti,tcarletti35@nih.gov,false,4.5,102,8th Floor
627327,Mike,Eads,meads36@163.com,false,6.16,75,Room 480
118382,Kinnie,Woollons,kwoollons37@phoca.cz,false,2.98,104,PO Box 99363
687991,Mame,Kinchin,mkinchin38@qq.com,true,6.35,35,16th Floor
454557,Ashton,Crowcher,acrowcher39@howstuffworks.com,false,5.81,3,PO Box 68759
061506,Karylin,Richardet,krichardet3a@issuu.com,false,0.2,93,PO Box 25244
163587,Earvin,Steagall,esteagall3b@rakuten.co.jp,false,6.0,124,Apt 360
669575,Dix,MacAlpyne,dmacalpyne3c@hhs.gov,true,4.83,86,7th Floor
227386,Hetti,Warren,hwarren3d@oaic.gov.au,false,3.75,83,Room 503
153202,Claudie,Kidstoun,ckidstoun3e@ucoz.ru,false,4.55,15,Suite 40
229825,Devin,Wisbey,dwisbey3f@admin.ch,false,4.21,86,Suite 53
954526,Duncan,Jonczyk,djonczyk3g@stumbleupon.com,true,9.65,8,PO Box 91895
963709,Stevena,Cobelli,scobelli3h@seattletimes.com,true,5.91,144,13th Floor
804370,Garv,Gilligan,ggilligan3i@businessinsider.com,false,6.99,124,Apt 1571
909562,Orson,Elleton,oelleton3j@ocn.ne.jp,true,2.39,2,Apt 378
294337,Wilie,Catteroll,wcatteroll3k@who.int,true,5.79,49,Suite 55
623349,Trace,Antoniottii,tantoniottii3l@pcworld.com,false,6.16,68,PO Box 59439
216361,Leanora,Kiossel,lkiossel3m@bloglines.com,false,5.07,150,Suite 66
291018,Seymour,Monkley,smonkley3n@washingtonpost.com,false,5.06,116,Suite 13
966403,Polly,Sundin,psundin3o@furl.net,true,9.3,81,Apt 1168
601390,Garland,Fanthome,gfanthome3p@cnn.com,true,7.92,63,PO Box 55399
242411,Padraic,Luffman,pluffman3q@spotify.com,false,1.25,66,PO Box 89820
562346,Bertie,Charity,bcharity3r@prlog.org,false,7.82,9,Room 1519
319646,Nike,Andrini,nandrini3s@dropbox.com,true,4.95,10,Room 764
810094,Minna,Ivers,mivers3t@engadget.com,false,7.05,15,Suite 99
749896,Anetta,Graalman,agraalman3u@wix.com,false,6.75,9,PO Box 41843
783617,Georgette,Brotherhead,gbrotherhead3v@icio.us,false,0.56,106,Room 87
526286,Roz,Pledge,rpledge3w@tripadvisor.com,true,3.14,131,Suite 90
394556,Rhea,Rodenborch,rrodenborch3x@indiatimes.com,false,0.01,132,Apt 113
712371,Nev,Christescu,nchristescu3y@mac.com,false,1.15,120,Suite 47
428109,Riane,Britner,rbritner3z@umn.edu,false,1.98,6,7th Floor
600422,Jade,Dingwall,jdingwall40@youku.com,false,3.9,25,Room 1582
312074,Noe,Middle,nmiddle41@t.co,true,3.63,133,Suite 3
619559,Noel,Peppard,npeppard42@baidu.com,true,0.79,125,Suite 97
185558,Haley,Winterbotham,hwinterbotham43@github.io,true,0.14,143,PO Box 95733
044584,Orelle,Hovell,ohovell44@flavors.me,false,1.59,7,12th Floor
881737,Dicky,Yerrall,dyerrall45@netlog.com,true,7.81,72,Room 1052
067874,Charmion,Maseyk,cmaseyk46@webs.com,true,6.59,131,Room 365
619093,Janessa,Brinicombe,jbrinicombe47@dyndns.org,true,3.12,4,Room 1171
349460,Filip,Milbourne,fmilbourne48@tripod.com,false,7.2,81,PO Box 4813
555604,Jennee,Ainscow,jainscow49@techcrunch.com,false,6.24,16,2nd Floor
410868,Quentin,Matussov,qmatussov4a@list-manage.com,true,9.23,128,Suite 89
971011,Fionnula,Grinyer,fgrinyer4b@sogou.com,false,3.77,98,Suite 12
722081,Larisa,Gladdish,lgladdish4c@dedecms.com,true,0.97,52,Room 960
281360,Dylan,Werner,dwerner4d@photobucket.com,true,1.0,54,PO Box 19605
014021,Rebecka,Hacquoil,rhacquoil4e@bizjournals.com,false,8.81,30,Suite 80
152575,Patrizia,Stickells,pstickells4f@latimes.com,false,5.45,25,Room 1594
790118,Kristoforo,Keeltagh,kkeeltagh4g@senate.gov,true,5.12,137,Room 1142
982335,Clywd,Penna,cpenna4h@skyrock.com,false,7.91,65,Room 439
777432,Somerset,Braga,sbraga4i@creativecommons.org,false,3.44,55,Apt 1377
762386,Kelci,Dempster,kdempster4j@infoseek.co.jp,false,7.39,86,15th Floor
669150,Maitilde,Onthank,monthank4k@ask.com,true,4.02,149,PO Box 14005
473688,Christen,Kohter,ckohter4l@sciencedirect.com,true,7.57,25,Apt 1477
419683,Elmira,Guilaem,eguilaem4m@mapy.cz,true,1.9,95,19th Floor
473431,Ursa,Braun,ubraun4n@aboutads.info,true,8.86,15,17th Floor
168242,Tyne,Purdey,tpurdey4o@google.com.au,true,8.77,141,Apt 847
286987,Caryl,Choppen,cchoppen4p@squarespace.com,true,1.82,131,Apt 1026
688029,Quinn,Mewrcik,qmewrcik4q@europa.eu,true,8.22,61,Suite 42
725965,Dulcia,Brockest,dbrockest4r@weather.com,false,5.06,150,5th Floor
506640,Allianora,Murr,amurr4s@feedburner.com,false,6.98,19,Apt 5
116961,Winn,Propper,wpropper4t@edublogs.org,false,7.7,61,6th Floor
824836,Paulie,Sherratt,psherratt4u@msu.edu,false,3.57,4,Suite 33
533281,Newton,Donaho,ndonaho4v@webnode.com,true,0.93,59,Suite 97
852139,Aldrich,Valentin,avalentin4w@weather.com,true,1.83,82,Apt 454
271549,Briant,Bricham,bbricham4x@arstechnica.com,true,1.96,137,Apt 1189
996595,Daisey,Durn,ddurn4y@washington.edu,false,9.16,22,PO Box 57048
355300,Marijo,Bray,mbray4z@china.com.cn,false,6.2,68,Room 1285
434907,Burg,Hiscocks,bhiscocks50@chicagotribune.com,true,1.11,75,Suite 35
327964,Jaquith,MacConchie,jmacconchie51@123-reg.co.uk,false,4.38,61,PO Box 31576
570786,Sybilla,Tinklin,stinklin52@imgur.com,true,1.46,137,Apt 1987
078155,Elyssa,Presslee,epresslee53@cmu.edu,false,1.04,9,Apt 1685
074736,Barney,Kingcote,bkingcote54@disqus.com,false,0.26,145,Suite 92
956186,Jameson,Clementi,jclementi55@google.com.br,false,6.61,52,Room 855
070585,Walsh,Thorrold,wthorrold56@state.gov,false,8.95,48,Apt 1929
752165,Ainslie,Stede,astede57@tinyurl.com,false,9.44,59,Suite 44
502068,Keelby,Mouncher,kmouncher58@bizjournals.com,true,5.12,20,PO Box 19449
606779,Emlen,Aleshintsev,ealeshintsev59@walmart.com,true,5.04,122,Apt 1352
237186,Sibeal,Shearn,sshearn5a@economist.com,true,1.03,123,Suite 35
339330,Sayer,Worsall,sworsall5b@cbc.ca,true,5.93,44,Room 1576
231409,Blondell,Vince,bvince5c@ehow.com,true,2.72,135,3rd Floor
009972,Randy,Dimmick,rdimmick5d@si.edu,true,0.31,40,Suite 78
292565,Adolf,Iorns,aiorns5e@google.com,true,5.98,102,Room 1918
598010,Camella,Relton,crelton5f@squidoo.com,false,7.62,79,PO Box 31680
050201,Hubert,Kurtis,hkurtis5g@a8.net,false,1.56,120,6th Floor
153295,Griffith,Crick,gcrick5h@liveinternet.ru,true,9.68,45,PO Box 13269
484055,Bobbe,Dunmuir,bdunmuir5i@seattletimes.com,true,9.83,44,Room 264
305518,Tallulah,Tackes,ttackes5j@tamu.edu,false,4.15,36,Suite 67
799128,Derrick,Pateman,dpateman5k@google.nl,false,4.34,94,Suite 83
838339,Nicolis,Matschke,nmatschke5l@nationalgeographic.com,true,6.11,121,PO Box 49123
548825,Merralee,Ferenc,mferenc5m@hp.com,false,1.88,118,Room 1532
560865,Calla,Flament,cflament5n@nifty.com,true,8.55,116,Room 1237
767555,Otha,Muttock,omuttock5o@apple.com,true,5.98,38,Suite 2
056661,Granny,Tomkiss,gtomkiss5p@ca.gov,false,3.28,36,PO Box 25977
995466,Chelsae,Carpmile,ccarpmile5q@noaa.gov,true,5.15,92,PO Box 34011
690449,Gaelan,Stennard,gstennard5r@cloudflare.com,true,3.13,139,11th Floor
900774,Claybourne,Hoovart,choovart5s@dropbox.com,true,9.24,130,Apt 604
929344,Cosme,Scholte,cscholte5t@fastcompany.com,true,6.46,132,Apt 1393
303346,Esmaria,Dowdam,edowdam5u@mapy.cz,false,2.35,15,Apt 1487
207684,Kelly,Garforth,kgarforth5v@unblog.fr,false,8.1,4,Room 684
813723,Valentine,Duffree,vduffree5w@google.co.uk,false,9.62,23,14th Floor
289396,Sadye,Odcroft,sodcroft5x@ycombinator.com,true,1.4,71,Suite 83
041476,Marven,Dyte,mdyte5y@oakley.com,false,9.6,133,Suite 8
908342,Andra,Daveley,adaveley5z@ask.com,false,1.68,74,Room 398
920433,Lynnelle,Plett,lplett60@goo.gl,true,2.45,131,Room 219
623226,Luella,Alliott,lalliott61@foxnews.com,false,1.17,140,4th Floor
628928,Garner,Ciobutaru,gciobutaru62@icio.us,true,6.91,107,PO Box 27227
530134,Melony,Kasbye,mkasbye63@berkeley.edu,false,6.58,53,Room 165
181994,Paulette,Domegan,pdomegan64@jugem.jp,true,8.86,98,Apt 1836
674051,Andre,Ashington,aashington65@twitpic.com,false,6.56,4,Suite 77
204286,Tonye,Snookes,tsnookes66@163.com,false,4.92,68,Room 1943
548336,Harri,Strain,hstrain67@thetimes.co.uk,true,8.9,12,7th Floor
758572,Byrle,Tremmil,btremmil68@abc.net.au,true,0.46,38,Suite 98
613894,Bevan,Thomasen,bthomasen69@latimes.com,false,0.42,79,Apt 1047
741045,Stacee,Freeman,sfreeman6a@google.com.hk,true,9.42,87,PO Box 80806
081072,Bridie,Avann,bavann6b@kickstarter.com,true,2.17,80,Suite 16
691555,Billye,Parriss,bparriss6c@github.com,true,5.47,101,PO Box 68276
408605,Walden,Hooke,whooke6d@wufoo.com,true,7.25,72,Suite 98
424431,Ruby,Tuffin,rtuffin6e@about.com,true,7.11,11,14th Floor
346034,Ashlin,Hinsch,ahinsch6f@timesonline.co.uk,false,1.56,107,Room 1511
560248,Christal,Fominov,cfominov6g@aol.com,true,7.06,139,Suite 62
358762,Jone,Jiggle,jjiggle6h@tinypic.com,false,5.41,60,4th Floor
